2025-06-04 15:01:58,740 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_45" received at simulation time 231285714270 ns (subscribe=true)
2025-06-04 15:01:58,750 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:58,750 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-06-04 15:01:58,750 INFO  SumoAmbassador - Adding new vehicle "veh_44" at simulation time 231285714270 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:58,751 INFO  SumoAmbassador - Adding new vehicle "veh_45" at simulation time 231285714270 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:58,880 INFO  SimulationFacade - Removed vehicle "veh_27" at simulation time 241000000000ns
2025-06-04 15:01:58,890 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_46" received at simulation time 241571428555 ns (subscribe=true)
2025-06-04 15:01:58,890 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_47" received at simulation time 241571428555 ns (subscribe=true)
2025-06-04 15:01:58,900 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:58,900 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-06-04 15:01:58,900 INFO  SumoAmbassador - Adding new vehicle "veh_46" at simulation time 241571428555 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:58,901 INFO  SumoAmbassador - Adding new vehicle "veh_47" at simulation time 241571428555 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:58,903 INFO  SimulationFacade - Removed vehicle "veh_18" at simulation time 243000000000ns
2025-06-04 15:01:58,903 INFO  SimulationFacade - Removed vehicle "veh_25" at simulation time 243000000000ns
2025-06-04 15:01:58,903 INFO  SimulationFacade - Removed vehicle "veh_29" at simulation time 243000000000ns
2025-06-04 15:01:58,922 INFO  SimulationFacade - Removed vehicle "veh_33" at simulation time 245000000000ns
2025-06-04 15:01:58,922 INFO  SimulationFacade - Removed vehicle "veh_31" at simulation time 245000000000ns
2025-06-04 15:01:58,939 INFO  SimulationFacade - Removed vehicle "veh_35" at simulation time 247000000000ns
2025-06-04 15:01:58,954 INFO  SimulationFacade - Removed vehicle "veh_16" at simulation time 249000000000ns
2025-06-04 15:01:58,954 INFO  SimulationFacade - Removed vehicle "veh_39" at simulation time 249000000000ns
2025-06-04 15:01:58,963 INFO  SimulationFacade - Removed vehicle "veh_22" at simulation time 250000000000ns
2025-06-04 15:01:58,971 INFO  SimulationFacade - Removed vehicle "veh_20" at simulation time 251000000000ns
2025-06-04 15:01:58,976 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_48" received at simulation time 251857142840 ns (subscribe=true)
2025-06-04 15:01:58,976 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_49" received at simulation time 251857142840 ns (subscribe=true)
2025-06-04 15:01:58,977 INFO  SimulationFacade - Removed vehicle "veh_26" at simulation time 252000000000ns
2025-06-04 15:01:58,982 INFO  SumoAmbassador - Adding new vehicle "veh_48" at simulation time 251857142840 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:58,983 INFO  SumoAmbassador - Adding new vehicle "veh_49" at simulation time 251857142840 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:58,985 INFO  SimulationFacade - Removed vehicle "veh_37" at simulation time 253000000000ns
2025-06-04 15:01:58,985 INFO  SimulationFacade - Removed vehicle "veh_24" at simulation time 253000000000ns
2025-06-04 15:01:59,107 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_50" received at simulation time 262142857125 ns (subscribe=true)
2025-06-04 15:01:59,107 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_51" received at simulation time 262142857125 ns (subscribe=true)
2025-06-04 15:01:59,113 INFO  SumoAmbassador - Adding new vehicle "veh_50" at simulation time 262142857125 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:59,114 INFO  SumoAmbassador - Adding new vehicle "veh_51" at simulation time 262142857125 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:59,173 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_52" received at simulation time 272428571410 ns (subscribe=true)
2025-06-04 15:01:59,173 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_53" received at simulation time 272428571410 ns (subscribe=true)
2025-06-04 15:01:59,180 INFO  SumoAmbassador - Adding new vehicle "veh_52" at simulation time 272428571410 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
