2025-06-06 17:30:52,040 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=0, avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.06 (at simulation time 620.001,400,000 s)
2025-06-06 17:30:52,040 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.06 (at simulation time 620.001,400,000 s)
2025-06-06 17:30:52,084 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=4, avgRoute0VehicleCount=1.30, avgRoute1VehicleCount=2.10 (at simulation time 630.000,900,000 s)
2025-06-06 17:30:52,084 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.30, avgRoute1VehicleCount=2.10 (at simulation time 630.000,900,000 s)
2025-06-06 17:30:52,137 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=3, route1VehicleCount=4, avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.13 (at simulation time 640.001,400,000 s)
2025-06-06 17:30:52,137 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.13 (at simulation time 640.001,400,000 s)
2025-06-06 17:30:52,201 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=3, route1VehicleCount=1, avgRoute0VehicleCount=1.35, avgRoute1VehicleCount=2.11 (at simulation time 650.001,900,000 s)
2025-06-06 17:30:52,201 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.35, avgRoute1VehicleCount=2.11 (at simulation time 650.001,900,000 s)
2025-06-06 17:30:52,262 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=1, avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.09 (at simulation time 660.000,400,000 s)
2025-06-06 17:30:52,262 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.09 (at simulation time 660.000,400,000 s)
2025-06-06 17:30:52,312 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=2, avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.09 (at simulation time 670.000,400,000 s)
2025-06-06 17:30:52,312 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.09 (at simulation time 670.000,400,000 s)
2025-06-06 17:30:52,362 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=3, avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.10 (at simulation time 680.000,400,000 s)
2025-06-06 17:30:52,362 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.10 (at simulation time 680.000,400,000 s)
2025-06-06 17:30:52,406 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=3, avgRoute0VehicleCount=1.29, avgRoute1VehicleCount=2.12 (at simulation time 690.002,400,000 s)
2025-06-06 17:30:52,406 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.29, avgRoute1VehicleCount=2.12 (at simulation time 690.002,400,000 s)
